,0
0,tensor(0.9073)
1,tensor(0.9106)
2,tensor(0.9554)
3,tensor(0.8754)
4,tensor(0.8889)
5,tensor(0.8625)
6,tensor(0.9992)
7,tensor(0.9970)
8,tensor(0.8721)
9,tensor(0.9058)
10,tensor(0.9439)
11,tensor(0.9268)
12,tensor(0.9100)
13,tensor(0.8535)
14,tensor(0.9405)
15,tensor(0.9195)
16,tensor(0.8225)
17,tensor(0.8148)
18,tensor(0.8295)
19,tensor(0.9514)
20,tensor(0.9835)
21,tensor(0.9444)
22,tensor(0.8848)
23,tensor(0.9643)
24,tensor(0.8547)
25,tensor(0.7536)
26,tensor(0.9791)
27,tensor(0.8702)
28,tensor(0.9184)
29,tensor(0.8738)
30,tensor(0.9810)
31,tensor(0.9259)
32,tensor(0.9286)
33,tensor(0.8401)
34,tensor(0.9440)
35,tensor(0.8880)
36,tensor(0.9178)
37,tensor(0.9028)
38,tensor(0.9090)
39,tensor(0.8869)
40,tensor(0.9376)
41,tensor(0.9044)
42,tensor(0.8619)
43,tensor(0.9095)
44,tensor(0.8906)
45,tensor(0.9026)
46,tensor(0.9992)
47,tensor(0.8827)
48,tensor(0.9128)
49,tensor(0.9029)
50,tensor(0.8452)
51,tensor(0.9322)
52,tensor(0.9254)
53,tensor(0.9260)
54,tensor(0.9674)
55,tensor(0.7932)
56,tensor(0.9362)
57,tensor(0.9467)
58,tensor(0.8677)
59,tensor(0.8725)
60,tensor(0.9321)
61,tensor(0.9115)
62,tensor(0.8545)
63,tensor(0.9424)
64,tensor(0.9424)
65,tensor(0.8819)
66,tensor(0.9727)
67,tensor(0.9288)
68,tensor(0.8417)
69,tensor(0.9426)
70,tensor(0.9448)
71,tensor(0.8283)
72,tensor(0.8619)
73,tensor(0.9230)
74,tensor(0.8997)
75,tensor(0.9431)
76,tensor(0.9413)
77,tensor(0.8871)
78,tensor(0.9091)
79,tensor(0.9511)
80,tensor(0.9332)
81,tensor(0.9117)
82,tensor(0.9374)
83,tensor(0.9533)
84,tensor(0.8870)
85,tensor(0.9980)
86,tensor(0.9508)
87,tensor(0.8314)
88,tensor(0.9652)
89,tensor(0.9243)
90,tensor(0.9034)
91,tensor(0.8560)
92,tensor(0.9357)
93,tensor(0.9492)
94,tensor(0.8874)
95,tensor(0.8608)
96,tensor(0.9136)
97,tensor(0.8588)
98,tensor(0.9821)
99,tensor(0.9192)
100,tensor(0.8820)
101,tensor(0.9085)
102,tensor(0.9194)
103,tensor(0.9010)
104,tensor(0.8856)
105,tensor(0.8324)
106,tensor(0.8626)
107,tensor(0.9327)
108,tensor(0.8825)
109,tensor(0.9055)
110,tensor(0.8267)
111,tensor(0.9621)
112,tensor(0.9577)
113,tensor(0.9155)
114,tensor(0.9080)
115,tensor(0.9874)
116,tensor(0.9181)
117,tensor(0.8294)
118,tensor(0.9401)
119,tensor(0.9863)
120,tensor(0.8720)
121,tensor(0.9664)
122,tensor(0.9411)
123,tensor(0.9082)
124,tensor(0.8541)
125,tensor(0.9051)
126,tensor(0.8727)
127,tensor(0.9316)
128,tensor(0.9009)
129,tensor(0.9265)
130,tensor(0.8354)
131,tensor(0.8732)
132,tensor(0.8891)
133,tensor(0.9472)
134,tensor(0.8983)
135,tensor(0.9958)
136,tensor(0.8875)
137,tensor(0.9621)
138,tensor(0.9466)
139,tensor(0.9393)
140,tensor(0.8440)
141,tensor(0.8387)
142,tensor(0.9373)
143,tensor(0.9680)
144,tensor(0.8800)
145,tensor(0.8162)
146,tensor(0.9552)
147,tensor(0.8621)
148,tensor(0.9364)
149,tensor(0.9208)
150,tensor(0.9466)
151,tensor(0.8673)
152,tensor(0.8737)
153,tensor(0.9384)
154,tensor(0.8936)
155,tensor(0.9139)
156,tensor(0.8929)
157,tensor(0.9964)
158,tensor(0.8792)
159,tensor(0.9076)
160,tensor(0.8766)
161,tensor(0.8434)
162,tensor(0.9580)
163,tensor(0.8664)
164,tensor(0.8850)
165,tensor(0.8658)
166,tensor(0.9500)
167,tensor(0.9236)
168,tensor(0.9306)
169,tensor(0.9435)
170,tensor(0.9828)
171,tensor(0.8725)
172,tensor(0.9205)
173,tensor(0.8985)
174,tensor(0.9349)
175,tensor(0.8157)
176,tensor(0.9082)
177,tensor(0.9401)
178,tensor(0.9424)
179,tensor(0.9040)
180,tensor(0.9257)
181,tensor(0.8542)
182,tensor(0.9586)
183,tensor(0.8515)
184,tensor(0.8450)
185,tensor(0.8340)
186,tensor(0.8933)
187,tensor(0.8534)
188,tensor(0.9996)
189,tensor(0.9372)
190,tensor(0.9049)
191,tensor(0.9428)
192,tensor(0.9259)
193,tensor(0.8635)
194,tensor(0.9187)
195,tensor(0.9475)
196,tensor(0.8885)
197,tensor(0.8796)
198,tensor(0.8860)
199,tensor(0.9198)
200,tensor(0.8678)
201,tensor(0.8626)
