,0
0,tensor(4.5364)
1,tensor(4.5531)
2,tensor(4.7772)
3,tensor(4.3771)
4,tensor(4.4446)
5,tensor(4.3124)
6,tensor(4.9962)
7,tensor(4.9849)
8,tensor(4.3603)
9,tensor(4.5289)
10,tensor(4.7194)
11,tensor(4.6342)
12,tensor(4.5502)
13,tensor(4.2675)
14,tensor(4.7025)
15,tensor(4.5977)
16,tensor(4.1127)
17,tensor(4.0738)
18,tensor(4.1475)
19,tensor(4.7569)
20,tensor(4.9176)
21,tensor(4.7219)
22,tensor(4.4238)
23,tensor(4.8214)
24,tensor(4.2735)
25,tensor(3.7681)
26,tensor(4.8954)
27,tensor(4.3509)
28,tensor(4.5922)
29,tensor(4.3689)
30,tensor(4.9051)
31,tensor(4.6295)
32,tensor(4.6428)
33,tensor(4.2006)
34,tensor(4.7199)
35,tensor(4.4400)
36,tensor(4.5888)
37,tensor(4.5140)
38,tensor(4.5449)
39,tensor(4.4344)
40,tensor(4.6880)
41,tensor(4.5220)
42,tensor(4.3095)
43,tensor(4.5475)
44,tensor(4.4529)
45,tensor(4.5131)
46,tensor(4.9958)
47,tensor(4.4134)
48,tensor(4.5642)
49,tensor(4.5144)
50,tensor(4.2261)
51,tensor(4.6612)
52,tensor(4.6271)
53,tensor(4.6301)
54,tensor(4.8371)
55,tensor(3.9659)
56,tensor(4.6809)
57,tensor(4.7334)
58,tensor(4.3386)
59,tensor(4.3625)
60,tensor(4.6605)
61,tensor(4.5573)
62,tensor(4.2723)
63,tensor(4.7121)
64,tensor(4.7122)
65,tensor(4.4097)
66,tensor(4.8634)
67,tensor(4.6442)
68,tensor(4.2084)
69,tensor(4.7132)
70,tensor(4.7240)
71,tensor(4.1414)
72,tensor(4.3095)
73,tensor(4.6151)
74,tensor(4.4985)
75,tensor(4.7153)
76,tensor(4.7065)
77,tensor(4.4355)
78,tensor(4.5456)
79,tensor(4.7554)
80,tensor(4.6660)
81,tensor(4.5587)
82,tensor(4.6872)
83,tensor(4.7666)
84,tensor(4.4350)
85,tensor(4.9898)
86,tensor(4.7539)
87,tensor(4.1571)
88,tensor(4.8262)
89,tensor(4.6213)
90,tensor(4.5170)
91,tensor(4.2801)
92,tensor(4.6784)
93,tensor(4.7458)
94,tensor(4.4370)
95,tensor(4.3038)
96,tensor(4.5682)
97,tensor(4.2941)
98,tensor(4.9107)
99,tensor(4.5962)
100,tensor(4.4098)
101,tensor(4.5424)
102,tensor(4.5972)
103,tensor(4.5052)
104,tensor(4.4280)
105,tensor(4.1621)
106,tensor(4.3128)
107,tensor(4.6636)
108,tensor(4.4124)
109,tensor(4.5275)
110,tensor(4.1334)
111,tensor(4.8105)
112,tensor(4.7886)
113,tensor(4.5776)
114,tensor(4.5398)
115,tensor(4.9369)
116,tensor(4.5907)
117,tensor(4.1471)
118,tensor(4.7007)
119,tensor(4.9314)
120,tensor(4.3599)
121,tensor(4.8318)
122,tensor(4.7054)
123,tensor(4.5409)
124,tensor(4.2705)
125,tensor(4.5256)
126,tensor(4.3634)
127,tensor(4.6580)
128,tensor(4.5044)
129,tensor(4.6325)
130,tensor(4.1771)
131,tensor(4.3662)
132,tensor(4.4453)
133,tensor(4.7362)
134,tensor(4.4916)
135,tensor(4.9788)
136,tensor(4.4375)
137,tensor(4.8103)
138,tensor(4.7331)
139,tensor(4.6967)
140,tensor(4.2199)
141,tensor(4.1935)
142,tensor(4.6867)
143,tensor(4.8398)
144,tensor(4.4001)
145,tensor(4.0808)
146,tensor(4.7761)
147,tensor(4.3106)
148,tensor(4.6822)
149,tensor(4.6041)
150,tensor(4.7331)
151,tensor(4.3364)
152,tensor(4.3685)
153,tensor(4.6922)
154,tensor(4.4679)
155,tensor(4.5697)
156,tensor(4.4647)
157,tensor(4.9819)
